 ,akiec,bcc,bkl,df,mel,nv,vasc,micro,macro
precision,0.07547169811320754,0.17543859649122806,0.4148936170212766,0.0,0.32,0.7913279132791328,0.06666666666666667,0.6447105788423154,0.26339978451021595
recall,0.12121212121212122,0.19607843137254902,0.35454545454545455,0.0,0.07207207207207207,0.8703427719821163,0.07142857142857142,0.1025071405902888,0.24081134608755494
fscore,0.09302325581395349,0.1851851851851852,0.3823529411764705,0.0,0.11764705882352941,0.8289567068843151,0.0689655172413793,0.8628148959474261,0.2515995892112796
